"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20220101","안산선","산본","6805","6259","20220104",""
"20220101","수인선","인천","1172","1569","20220104",""
"20220101","수인선","신포","1010","992","20220104",""
"20220101","수인선","숭의","1636","1500","20220104",""
"20220101","수인선","인하대","2640","2546","20220104",""
"20220101","수인선","송도","1354","1324","20220104",""
"20220101","수인선","연수","2297","2372","20220104",""
"20220101","수인선","원인재","2188","2402","20220104",""
"20220101","수인선","남동인더스파크","441","362","20220104",""
"20220101","수인선","호구포","1548","1489","20220104",""
"20220101","수인선","인천논현","2600","2694","20220104",""
"20220101","수인선","소래포구","3911","3837","20220104",""
"20220101","수인선","월곶","1348","1284","20220104",""
"20220101","수인선","달월","38","55","20220104",""
"20220101","수인선","사리","2162","1974","20220104",""
"20220101","수인선","야목","152","122","20220104",""
"20220101","수인선","어천","427","416","20220104",""
"20220101","수인선","오목천","1239","1112","20220104",""
"20220101","수인선","고색","1544","1512","20220104",""
"20220101","분당선","매교","1075","1049","20220104",""
"20220101","분당선","수원시청","6412","6209","20220104",""
"20220101","분당선","매탄권선","2034","2085","20220104",""
"20220101","분당선","망포","5250","5034","20220104",""
"20220101","분당선","영통","4036","3958","20220104",""
"20220101","분당선","청명","1364","1469","20220104",""
"20220101","분당선","상갈","2335","2371","20220104",""
"20220101","분당선","기흥","3933","3873","20220104",""
"20220101","분당선","신갈","1426","1522","20220104",""
"20220101","분당선","구성","1805","1908","20220104",""
"20220101","분당선","죽전","5099","5796","20220104",""
"20220101","분당선","보정","833","801","20220104",""
"20220101","분당선","이매","2019","2134","20220104",""
"20220101","분당선","오리","4144","3475","20220104",""
"20220101","분당선","미금","5774","6011","20220104",""
"20220101","분당선","정자","5621","5722","20220104",""
"20220101","분당선","수내","3887","3641","20220104",""
"20220101","분당선","서현","11052","10765","20220104",""
"20220101","분당선","야탑","9563","10027","20220104",""
"20220101","분당선","모란","8977","9270","20220104",""
"20220101","분당선","태평","6305","5972","20220104",""
"20220101","분당선","가천대","2542","2988","20220104",""
"20220101","분당선","선정릉","1210","1218","20220104",""
"20220101","분당선","강남구청","2024","2355","20220104",""
"20220101","분당선","압구정로데오","5891","6496","20220104",""
"20220101","분당선","서울숲","3164","3292","20220104",""
"20220101","분당선","수원","4789","4007","20220104",""
"20220101","분당선","수서","5513","5557","20220104",""
"20220101","분당선","대모산입구","1430","1409","20220104",""
"20220101","분당선","개포동","1114","1121","20220104",""
"20220101","분당선","구룡","468","542","20220104",""
"20220101","분당선","도곡","1858","1799","20220104",""
"20220101","분당선","한티","5769","5517","20220104",""
"20220101","분당선","선릉","1980","2837","20220104",""
"20220101","과천선","범계","10536","10290","20220104",""
"20220101","과천선","평촌","4657","4604","20220104",""
"20220101","과천선","인덕원","8031","8303","20220104",""
"20220101","과천선","정부과천청사","3162","3153","20220104",""
"20220101","과천선","과천","2325","2194","20220104",""
"20220101","과천선","대공원","1856","1869","20220104",""
"20220101","과천선","경마공원","378","371","20220104",""
"20220101","과천선","선바위","2468","2233","20220104",""
"20220101","공항철도 1호선","영종","1904","1839","20220104",""
"20220101","공항철도 1호선","인천공항2터미널","1684","1522","20220104",""
"20220101","공항철도 1호선","인천공항1터미널","3601","3377","20220104",""
"20220101","공항철도 1호선","공항화물청사","1055","1057","20220104",""
"20220101","공항철도 1호선","운서","4110","4080","20220104",""
"20220101","공항철도 1호선","청라국제도시","2333","2353","20220104",""
"20220101","공항철도 1호선","검암","2523","2697","20220104",""
"20220101","공항철도 1호선","계양","3715","3735","20220104",""
"20220101","공항철도 1호선","김포공항","8828","4204","20220104",""
"20220101","공항철도 1호선","마곡나루(서울식물원)","1551","1591","20220104",""
"20220101","공항철도 1호선","디지털미디어시티","2655","2457","20220104",""
"20220101","공항철도 1호선","홍대입구","6979","6898","20220104",""
"20220101","공항철도 1호선","공덕","805","1177","20220104",""
"20220101","공항철도 1호선","서울역","4845","4299","20220104",""
"20220101","경춘선","춘천","976","904","20220104",""
"20220101","경춘선","남춘천","1573","1664","20220104",""
"20220101","경춘선","김유정","207","200","20220104",""
"20220101","경춘선","강촌","304","319","20220104",""
"20220101","경춘선","백양리","326","255","20220104",""
"20220101","경춘선","굴봉산","118","122","20220104",""
"20220101","경춘선","가평","1183","1126","20220104",""
"20220101","경춘선","상천","151","146","20220104",""
"20220101","경춘선","청평","1089","1001","20220104",""
"20220101","경춘선","대성리","391","247","20220104",""
"20220101","경춘선","마석","1805","1841","20220104",""
"20220101","경춘선","천마산","800","805","20220104",""
"20220101","경춘선","평내호평","2636","2550","20220104",""
"20220101","경춘선","금곡","643","614","20220104",""
"20220101","경춘선","사릉","1227","1256","20220104",""
"20220101","경춘선","퇴계원","1457","1421","20220104",""
"20220101","경춘선","별내","1348","1285","20220104",""
"20220101","경춘선","갈매","996","977","20220104",""
"20220101","경춘선","신내","652","648","20220104",""
"20220101","경인선","도화","1894","1826","20220104",""
"20220101","경인선","중동","3811","3747","20220104",""
"20220101","경인선","온수(성공회대입구)","2784","2648","20220104",""
"20220101","경인선","도원","1306","1401","20220104",""
"20220101","경인선","간석","2500","2449","20220104",""
"20220101","경인선","부개","3717","3559","20220104",""
"20220101","경인선","소사","3831","3896","20220104",""
"20220101","경인선","구일","2408","2385","20220104",""
"20220101","경인선","인천","3511","2837","20220104",""
"20220101","경인선","동인천","7494","7323","20220104",""
"20220101","경인선","제물포","4285","4358","20220104",""
"20220101","경인선","주안","9520","8463","20220104",""
"20220101","경인선","동암","7406","7824","20220104",""
"20220101","경인선","백운","3037","3105","20220104",""
"20220101","경인선","부평","19542","21240","20220104",""
"20220101","경인선","송내","9835","9716","20220104",""
"20220101","경인선","부천","18252","18977","20220104",""
"20220101","경인선","역곡","11594","11696","20220104",""
"20220101","경인선","오류동","5400","5191","20220104",""
"20220101","경인선","개봉","8815","9030","20220104",""
"20220101","경의선","임진강","56","73","20220104",""
"20220101","경의선","문산","2792","2863","20220104",""
"20220101","경의선","파주","482","424","20220104",""
"20220101","경의선","월롱","757","813","20220104",""
"20220101","경의선","금촌","3655","3696","20220104",""
"20220101","경의선","금릉","2226","2242","20220104",""
"20220101","경의선","운정","2739","2779","20220104",""
"20220101","경의선","야당","4003","3880","20220104",""
"20220101","경의선","풍산","2502","2511","20220104",""
"20220101","경의선","백마","2377","2411","20220104",""
"20220101","경의선","곡산","223","222","20220104",""
"20220101","경의선","능곡","1562","1524","20220104",""
"20220101","경의선","행신","2954","3044","20220104",""
"20220101","경의선","강매","1078","1085","20220104",""
"20220101","경의선","화전","515","449","20220104",""
"20220101","경의선","수색","677","686","20220104",""
"20220101","경의선","디지털미디어시티","1025","905","20220104",""
"20220101","경의선","가좌","2017","1980","20220104",""
"20220101","경의선","홍대입구","1134","1294","20220104",""
"20220101","경의선","서강대","929","856","20220104",""
"20220101","경의선","공덕","1251","1060","20220104",""
"20220101","경의선","효창공원앞","934","1056","20220104",""
"20220101","경의선","신촌","181","212","20220104",""
"20220101","경의선","서울역","687","726","20220104",""
"20220101","경원선","소요산","2218","1982","20220104",""
"20220101","경원선","동두천","959","1154","20220104",""
"20220101","경원선","보산","883","991","20220104",""
"20220101","경원선","동두천중앙","1617","1626","20220104",""
"20220101","경원선","지행","3454","3406","20220104",""
"20220101","경원선","덕정","2668","2576","20220104",""
"20220101","경원선","덕계","1203","1182","20220104",""
"20220101","경원선","양주","3605","3514","20220104",""
"20220101","경원선","녹양","2000","2031","20220104",""
"20220101","경원선","가능","2996","2855","20220104",""
"20220101","경원선","의정부","10507","10890","20220104",""
"20220101","경원선","회룡","5162","5301","20220104",""
"20220101","경원선","망월사","3245","3429","20220104",""
"20220101","경원선","도봉산","5421","3866","20220104",""
"20220101","경원선","도봉","2638","2480","20220104",""
"20220101","경원선","방학","4376","4204","20220104",""
"20220101","경원선","녹천","1934","1633","20220104",""
"20220101","경원선","월계","2796","2675","20220104",""
"20220101","경원선","광운대","3040","3166","20220104",""
"20220101","경원선","석계","3821","4189","20220104",""
"20220101","경원선","신이문","3480","3310","20220104",""
"20220101","경원선","외대앞","3374","3345","20220104",""
"20220101","경원선","청량리(서울시립대입구)","9450","9171","20220104",""
"20220101","경원선","왕십리(성동구청)","7197","8126","20220104",""
"20220101","경원선","응봉","876","794","20220104",""
"20220101","경원선","옥수","28","28","20220104",""
"20220101","경원선","한남","1487","1363","20220104",""
